X,Y,id,Clay_0,Silt_0,Sand_0,Clay_30,Silt_30,Sand_30,Clay_60,Silt_60,Sand_60,00-30_Clas,00-30_Cl_1,30-60_Clas,30-60_Cl_1,60-90_Clas,60-90_Cl_1,00-30_Nmin,00-30_Wate,30-60_Nmin,30-60_Wate,60-90_Nmin,60-90_Wate,Corg_0,Corg_30,Corg_60,Bulk_Density_0,Bulk_Density_30,Bulk_Density_60
445149,5823978,1,2.902569413,7.393448191,89.7039824,2.084520532,7.489695383,90.42578408,0.777997954,11.65363067,87.56837138,Ss,fSms,Ss,fSms,Su2,,34.36717439,0.142425146,7.476593359,0.147991434,11.79207839,0.162593935,1.09,0.96,0.24,1.5,1.7,1.7
445179,5823974,2,2.369694996,9.581716894,88.04858811,3.491695576,12.73152502,83.77677941,2.048505818,6.379981059,91.57151312,Ss,fSms,Su2,,Ss,fSms,6.792788049,0.129733034,5.886664694,0.122970642,11.51653285,0.16495745,0.81,1.14,0.28,1.5,1.7,1.7
445209,5823970,3,2.363658566,9.06075391,88.57558752,3.723876758,20.48889415,75.78722909,5.303481097,14.6958378,80.00068111,Ss,fSms,Su2,,Sl2,,4.795563809,0.118331886,1.661912134,0.095248795,6.746149284,0.093330154,0.72,0.14,0.04,1.5,1.7,1.7
445239,5823966,4,3.504421795,12.7477032,83.747875,2.909838182,16.86606776,80.22409406,2.692192002,24.98371992,72.32408808,Su2,,Su2,,Su2,,8.324897622,0.116784563,0.821813837,0.092013722,2.927570726,0.129113286,0.61,0.28,0.2,1.5,1.7,1.7
445268,5823962,5,6.752169451,19.26593672,73.98189383,8.332109951,23.34444757,68.32344248,9.625424938,30.85738117,59.5171939,Sl2,,Sl3,,Sl3,,6.036236957,0.107679596,2.509045378,0.109252524,0.948624096,0.122724433,0.75,0.07,0.08,1.5,1.7,1.7
445298,5823958,6,2.271202248,10.7873251,86.94147265,0.950054831,9.997345913,89.05259926,6.077900599,14.64390073,79.27819867,Su2,,Ss,mSfs,Sl2,,12.00795735,0.091358583,1.401190227,0.075427776,2.004368078,0.09848948,0.5,0.08,0.08,1.5,1.7,1.7
445328,5823954,7,1.246499183,15.21669923,83.53680159,3.003353483,13.48999287,83.50665364,2.857845678,18.76782355,78.37433077,Su2,,Su2,,Su2,,6.741140884,0.117427516,0,0.086055948,2.811160593,0.097392029,0.59,0.24,0.12,1.5,1.7,1.7
445358,5823950,8,3.557321646,14.08045821,82.36222015,2.269228945,14.32843952,83.40233154,9.884451906,18.31265075,71.80289735,Su2,,Su2,,Sl3,,5.49777994,0.121854176,0.469578096,0.092437168,8.172266714,0.122917647,0.73,0.14,0.11,1.5,1.7,1.7
445388,5823946,9,3.727587508,13.38533468,82.88707781,2.305733229,12.18929328,85.50497349,2.991885547,12.02360067,84.98451379,Su2,,Su2,,Su2,,7.082782803,0.116107959,0.890872301,0.078233108,2.678032909,0.094505985,0.71,0.29,0.07,1.5,1.7,1.7
445417,5823943,10,4.237400854,10.42556122,85.33703793,2.899416098,8.21572102,88.88486288,4.696522745,9.326537357,85.9769399,Su2,,Ss,fSms,Ss,mSfs,5.88732088,0.106466754,0.665512778,0.079819556,11.79637441,0.093557393,0.69,0.31,0.07,1.5,1.7,1.7
445146,5823960,11,1.051141107,5.938784024,93.01007487,0.352679649,5.872539434,93.77478092,0.73975211,15.82416737,83.43608052,Ss,fSms,Ss,fSms,Su2,,6.951501783,0.0891761,2.10810375,0.066358442,0.504359935,0.05104353,0.52,0.09,0.04,1.5,1.7,1.7
445176,5823957,12,1.271635274,6.324732642,92.40363208,0.770410767,5.448401781,93.78118745,0.29121397,4.628298831,95.0804872,Ss,fSms,Ss,fSms,Ss,fSms,5.922742409,0.10134566,0.685927774,0.060512418,10.86436515,0.11929465,0.72,0.14,0.04,1.5,1.7,1.7
445206,5823953,13,2.816670736,8.935374709,88.24795456,4.22847386,12.36326723,83.40825891,7.194981441,8.562126526,84.24289203,Ss,fSms,Su2,,St2,,5.273094137,0.113667706,1.980474125,0.099574633,12.71529076,0.130806836,0.82,0.21,0.08,1.5,1.7,1.7
445236,5823949,14,4.000426188,13.85357362,82.14600019,2.789968421,16.71592188,80.4941097,3.588820171,22.4022324,74.00894743,Su2,,Su2,,Su2,,6.719642527,0.12598376,1.778692435,0.101380543,1.655446336,0.125845797,0.82,0.26,0.1,1.5,1.7,1.7
445266,5823945,15,2.658010398,17.87089839,79.47109122,8.807613145,27.17769943,64.01468743,6.247309802,27.12367462,66.62901558,Su2,,Sl3,,Su3,,6.162711771,0.132334178,4.070681353,0.127027872,3.216378946,0.135277769,0.66,0.19,0.09,1.5,1.7,1.7
445295,5823941,16,5.459420071,13.56911601,80.97146392,13.65203534,28.30947886,58.0384858,10.15928602,31.10926885,58.73144514,Sl2,,Sl4,,Sl3,,7.226648148,0.137240615,6.333242689,0.123680748,11.57314752,0.088727283,0.76,0.18,0.09,1.5,1.7,1.7
445325,5823937,17,2.044279102,14.38813298,83.56758792,1.364362382,6.70055133,91.93508629,3.132196146,11.90500254,84.96280131,Su2,,Ss,mSfs,Su2,,6.176689699,0.119058494,1.698001556,0.066031746,3.068184275,0.112435035,0.67,0.25,0.05,1.5,1.7,1.7
445355,5823933,18,1.853803862,12.55703072,85.58916542,1.489483309,11.48281586,87.02770083,1.336375296,11.43354831,87.2300764,Su2,,Su2,,Su2,,14.0546978,0.117839467,1.209622635,0.092360733,10.48020271,0.116416891,0.76,0.16,0.08,1.5,1.7,1.7
445385,5823929,19,3.231924297,12.51070171,84.257374,2.614338693,11.39467939,85.99098191,8.714967193,23.25712972,68.02790309,Su2,,Su2,,Sl3,,10.08083751,0.116884193,1.618722546,0.084963221,7.60062634,0.110554797,0.71,0.26,0.11,1.5,1.7,1.7
445415,5823925,20,2.683135245,12.27424061,85.04262415,6.148057348,13.84262943,80.00931322,7.243433264,13.35440517,79.40216157,Su2,,Sl2,,Sl2,,4.995720845,0.118298368,2.074007513,0.099245749,0.831360806,0.05095141,0.58,0.17,0.07,1.5,1.7,1.7
445144,5823943,21,1.673746213,4.656043098,93.67021069,1.359266965,4.297903402,94.34282963,3.203874634,7.064326101,89.73179927,Ss,mSfs,Ss,mSfs,Ss,mSfs,8.202155146,0.095344228,0.971873597,0.073154719,0.617354911,0.05688722,0.79,0.27,0.08,1.5,1.7,1.7
445173,5823939,22,2.352513421,5.269098765,92.37838781,2.363553039,5.100185485,92.53626148,1.713909768,9.44846031,88.83762992,Ss,mSfs,Ss,mSfs,Ss,fSms,2.799543075,0.08609853,0.620724925,0.061036412,15.80480037,0.139296605,0.8,0.3,0.06,1.5,1.7,1.7
445203,5823935,23,1.211389921,13.40726297,85.38134711,5.522273183,25.00444408,69.47328274,17.9602303,25.80735624,56.23241346,Su2,,Su3,,Ls4,,12.77946541,0.119534234,3.208735347,0.107594319,5.996270283,0.13616713,0.74,0.28,0.13,1.5,1.7,1.7
445233,5823931,24,3.751719005,17.06718083,79.18110017,8.770756035,28.87647624,62.35276772,10.62209859,35.06053622,54.3173652,Su2,,Sl3,,Sl3,,11.33530723,0.151498314,5.96655859,0.13159356,2.365188139,0.097197756,0.73,0.22,0.09,1.5,1.7,1.7
445263,5823927,25,2.789712994,11.69000853,85.52027848,2.579788835,12.61519047,84.8050207,1.68919122,10.36976812,87.94104066,Su2,,Su2,,Su2,,6.351647855,0.117993698,1.829106559,0.082555495,1.638167944,0.077961895,0.82,0.14,0.05,1.5,1.7,1.7
445293,5823923,26,1.643026991,12.38299444,85.97397857,2.256050769,12.74163861,85.00231062,0.612886933,14.20397885,85.18313422,Su2,,Su2,,Su2,,7.998745661,0.106239147,0.886088982,0.073447836,6.756778784,0.101261089,0.49,0.12,0.04,1.5,1.7,1.7
445322,5823919,27,2.898468295,11.67845838,85.42307333,1.691707586,10.90495518,87.40333724,4.274688587,13.14893426,82.57637715,Su2,,Su2,,Su2,,4.845658125,0.094328014,1.008376299,0.07315871,4.322226372,0.15887021,0.52,0.18,0.08,1.5,1.7,1.7
445352,5823915,28,3.34373899,15.83093631,80.8253247,10.38371542,21.42242134,68.19386324,10.87238824,27.78300703,61.34460473,Su2,,Sl3,,Sl3,,5.558315331,0.156440403,4.702552967,0.151810801,7.257123177,0.130110609,0.61,0.22,0.09,1.5,1.7,1.7
